RK,TEAM,"TOTAL DVOA","LAST YEAR","WEI. DVOA",RK,W-L,"OFF. DVOA","OFF. RK","DEF. DVOA","DEF. RK","S.T. DVOA","S.T. RK"
1,BAL,41.50%,6,50.90%,1,14-2,27.50%,1,-12.70%,4,1.30%,10
2,KC,30.20%,1,33.20%,3,12-4,22.70%,3,-3.40%,14,4.10%,2
3,NE,29.90%,7,19.00%,6,12-4,4.10%,11,-24.60%,1,1.20%,11
4,NO,29.30%,4,38.50%,2,13-3,21.30%,4,-4.30%,11,3.60%,3
5,SF,27.90%,30,22.20%,4,13-3,7.20%,7,-19.80%,2,1.00%,12
6,DAL,17.10%,21,13.30%,8,8-8,24.00%,2,3.00%,19,-3.90%,30
7,MIN,15.40%,10,16.20%,7,10-6,4.60%,10,-9.90%,7,0.80%,14
8,SEA,13.80%,12,11.80%,9,11-5,17.40%,5,2.70%,18,-0.90%,20
9,TEN,8.60%,20,20.40%,5,9-7,12.90%,6,1.00%,16,-3.20%,29
10,GB,7.70%,19,4.80%,13,13-3,6.50%,8,-1.10%,15,0.10%,18
11,PHI,6.50%,16,5.20%,12,9-7,2.60%,14,-4.00%,12,0.00%,19
12,LAR,5.50%,2,4.60%,14,9-7,0.30%,16,-6.90%,9,-1.80%,23
13,BUF,2.70%,28,8.30%,10,10-6,-7.30%,22,-11.30%,6,-1.20%,21
14,TB,1.50%,24,5.70%,11,7-9,-7.30%,21,-11.50%,5,-2.80%,28
15,CHI,-2.10%,5,-2.60%,17,8-8,-10.10%,25,-7.10%,8,0.90%,13
16,IND,-5.00%,8,-7.20%,22,7-9,-3.10%,19,2.30%,17,0.40%,16
17,ATL,-5.00%,18,2.40%,16,7-9,2.00%,15,4.40%,20,-2.60%,27
18,PIT,-5.50%,9,-6.70%,20,8-8,-25.40%,32,-18.50%,3,1.40%,9
19,HOU,-5.80%,11,-12.10%,23,10-6,0.30%,17,8.90%,26,2.90%,5
20,ARI,-5.80%,32,3.60%,15,5-10-1,3.80%,13,7.20%,23,-2.40%,26
21,LAC,-6.70%,3,-5.20%,18,5-11,3.80%,12,5.40%,21,-5.10%,32
22,DEN,-9.00%,13,-7.10%,21,7-9,-10.70%,26,-3.70%,13,-1.90%,24
23,CLE,-10.10%,17,-13.60%,24,6-10,-4.60%,20,6.30%,22,0.80%,15
24,OAK,-11.00%,31,-14.50%,25,7-9,5.60%,9,14.60%,31,-2.00%,25
25,DET,-12.10%,26,-20.30%,28,3-12-1,-2.90%,18,10.70%,28,1.50%,8
26,NYJ,-15.80%,25,-6.40%,19,7-9,-25.00%,31,-5.80%,10,3.40%,4
27,NYG,-17.50%,15,-17.30%,26,4-12,-7.30%,23,10.50%,27,0.30%,17
28,JAX,-18.00%,22,-29.10%,31,6-10,-9.50%,24,11.00%,29,2.50%,7
29,CIN,-25.20%,23,-18.80%,27,2-14,-16.50%,29,13.30%,30,4.60%,1
30,WAS,-25.70%,29,-23.80%,30,3-13,-20.50%,30,7.90%,24,2.70%,6
31,CAR,-26.90%,14,-40.80%,32,5-11,-14.40%,28,8.10%,25,-4.40%,31
32,MIA,-36.70%,27,-23.80%,29,5-11,-13.00%,27,22.20%,32,-1.40%,22