Team,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,Net
32,ARI,0.014,42.70%,0.02,43.10%,0.004,42.00%,-0.081
31,ATL,0.014,44.50%,0.089,48.70%,-0.159,34.70%,-0.03
30,BAL,0.203,48.10%,0.322,49.80%,0.088,46.40%,0.292
29,BUF,-0.024,41.70%,0.02,43.60%,-0.088,38.90%,0.061
28,CAR,-0.087,43.20%,-0.07,45.30%,-0.12,39.10%,-0.146
27,CHI,-0.079,41.10%,-0.02,45.00%,-0.188,34.00%,-0.032
26,CIN,-0.096,40.40%,-0.074,42.50%,-0.137,36.20%,-0.193
25,CLE,-0.027,41.30%,0.025,43.70%,-0.116,37.30%,-0.076
24,DAL,0.111,48.70%,0.192,52.30%,-0.017,43.00%,0.137
23,DEN,-0.054,40.20%,-0.019,42.40%,-0.11,36.90%,-0.053
22,DET,-0.039,41.50%,0.049,44.60%,-0.193,36.00%,-0.11
21,GB,0.059,44.00%,0.125,45.70%,-0.063,40.80%,0.089
20,HOU,0.057,45.60%,0.132,49.30%,-0.071,39.20%,-0.002
19,IND,0.009,44.50%,-0.001,45.50%,0.022,43.20%,0.009
18,JAX,-0.053,39.30%,-0.01,41.90%,-0.145,33.80%,-0.125
17,KC,0.135,47.00%,0.246,50.60%,-0.094,39.40%,0.133
16,LAR,0.001,44.40%,0.089,46.30%,-0.159,40.80%,0.04
15,LAC,0.036,47.30%,0.118,51.10%,-0.118,40.20%,0
14,LV,0.037,44.80%,0.145,49.20%,-0.11,38.70%,-0.081
13,MIA,-0.076,41.50%,0.002,46.20%,-0.268,30.10%,-0.201
12,MIN,0.056,42.10%,0.177,48.00%,-0.082,35.30%,0.123
11,NE,0.01,42.60%,0.065,43.40%,-0.078,41.10%,0.227
10,NO,0.084,47.10%,0.172,50.80%,-0.067,40.60%,0.12
9,NYG,-0.064,41.80%,-0.034,42.80%,-0.129,39.80%,-0.137
8,NYJ,-0.155,37.30%,-0.118,40.50%,-0.216,32.00%,-0.133
7,PHI,0.004,44.90%,0.069,48.00%,-0.105,39.60%,0.035
6,PIT,-0.136,38.50%,-0.061,41.90%,-0.257,33.20%,-0.014
5,SEA,0.018,45.50%,0.119,49.60%,-0.135,39.40%,-0.001
4,SF,0.077,44.80%,0.194,51.00%,-0.061,37.50%,0.216
3,TB,0,43.60%,0.084,48.70%,-0.168,33.40%,0.072
2,TEN,0.063,45.70%,0.143,49.10%,-0.046,40.90%,0.084
1,WAS,-0.13,38.90%,-0.11,43.50%,-0.164,31.20%,-0.213