,player,target_year,team
0,Aaron Rodgers,2018,Packers
1,Aaron Rodgers,2019,Packers
2,Aaron Rodgers,2020,Packers
3,Aaron Rodgers,2021,Packers
4,Aaron Rodgers,2022,Packers
5,Aaron Rodgers,2024,Jets
6,Alex Smith,2018,Commanders
7,Alex Smith,2020,Commanders
8,Andy Dalton,2018,Bengals
9,Andy Dalton,2019,Bengals
10,Andy Dalton,2020,Cowboys
11,Andy Dalton,2021,Bears
12,Andy Dalton,2022,Saints
13,Andy Dalton,2024,Panthers
14,Baker Mayfield,2021,Browns
15,Baker Mayfield,2022,Rams
16,Baker Mayfield,2023,Buccaneers
17,Baker Mayfield,2024,Buccaneers
18,Ben Roethlisberger,2018,Steelers
19,Ben Roethlisberger,2020,Steelers
20,Ben Roethlisberger,2021,Steelers
21,Blaine Gabbert,2018,Titans
22,Blake Bortles,2018,Jaguars
23,Brock Osweiler,2018,Dolphins
24,Cam Newton,2018,Panthers
25,Cam Newton,2020,Patriots
26,Cam Newton,2021,Panthers
27,Carson Wentz,2019,Eagles
28,Carson Wentz,2020,Eagles
29,Carson Wentz,2021,Colts
30,Carson Wentz,2022,Commanders
31,Case Keenum,2018,Broncos
32,Case Keenum,2019,Commanders
33,Dak Prescott,2019,Cowboys
34,Dak Prescott,2020,Cowboys
35,Dak Prescott,2021,Cowboys
36,Dak Prescott,2022,Cowboys
37,Dak Prescott,2023,Cowboys
38,Dak Prescott,2024,Cowboys
39,Daniel Jones,2022,Giants
40,Daniel Jones,2023,Giants
41,Daniel Jones,2024,Vikings
42,Derek Carr,2018,Raiders
43,Derek Carr,2019,Raiders
44,Derek Carr,2020,Raiders
45,Derek Carr,2021,Raiders
46,Derek Carr,2022,Raiders
47,Derek Carr,2023,Saints
48,Derek Carr,2024,Saints
49,Deshaun Watson,2020,Texans
50,Deshaun Watson,2022,Browns
51,Deshaun Watson,2023,Browns
52,Deshaun Watson,2024,Browns
53,Drew Brees,2018,Saints
54,Drew Brees,2019,Saints
55,Drew Brees,2020,Saints
56,Drew Lock,2024,Giants
57,Eli Manning,2018,Giants
58,Eli Manning,2019,Giants
59,Gardner Minshew,2024,Raiders
60,Geno Smith,2024,Seahawks
61,Jacoby Brissett,2022,Browns
62,Jacoby Brissett,2024,Patriots
63,Jalen Hurts,2023,Eagles
64,Jalen Hurts,2024,Eagles
65,Jameis Winston,2018,Buccaneers
66,Jameis Winston,2019,Buccaneers
67,Jameis Winston,2021,Saints
68,Jameis Winston,2022,Saints
69,Jameis Winston,2024,Browns
70,Jared Goff,2019,Rams
71,Jared Goff,2020,Rams
72,Jared Goff,2021,Lions
73,Jared Goff,2022,Lions
74,Jared Goff,2023,Lions
75,Jared Goff,2024,Lions
76,Jimmy Garoppolo,2020,49ers
77,Jimmy Garoppolo,2021,49ers
78,Jimmy Garoppolo,2022,49ers
79,Jimmy Garoppolo,2023,Raiders
80,Joe Burrow,2023,Bengals
81,Joe Burrow,2024,Bengals
82,Joe Flacco,2018,Ravens
83,Joe Flacco,2019,Broncos
84,Joe Flacco,2020,Jets
85,Joe Flacco,2022,Jets
86,Joe Flacco,2023,Browns
87,Joe Flacco,2024,Colts
88,Josh Allen,2021,Bills
89,Josh Allen,2022,Bills
90,Josh Allen,2023,Bills
91,Josh Allen,2024,Bills
92,Josh McCown,2018,Jets
93,Justin Fields,2024,Steelers
94,Justin Herbert,2023,Chargers
95,Justin Herbert,2024,Chargers
96,Kirk Cousins,2018,Vikings
97,Kirk Cousins,2019,Vikings
98,Kirk Cousins,2020,Vikings
99,Kirk Cousins,2021,Vikings
100,Kirk Cousins,2022,Vikings
101,Kirk Cousins,2023,Vikings
102,Kirk Cousins,2024,Falcons
103,Kyler Murray,2022,Cardinals
104,Kyler Murray,2023,Cardinals
105,Kyler Murray,2024,Cardinals
106,Lamar Jackson,2021,Ravens
107,Lamar Jackson,2022,Ravens
108,Lamar Jackson,2023,Ravens
109,Lamar Jackson,2024,Ravens
110,Mac Jones,2024,Jaguars
111,Marcus Mariota,2018,Titans
112,Marcus Mariota,2019,Titans
113,Marcus Mariota,2022,Falcons
114,Matt Ryan,2018,Falcons
115,Matt Ryan,2019,Falcons
116,Matt Ryan,2020,Falcons
117,Matt Ryan,2021,Falcons
118,Matt Ryan,2022,Colts
119,Matthew Stafford,2018,Lions
120,Matthew Stafford,2019,Lions
121,Matthew Stafford,2020,Lions
122,Matthew Stafford,2021,Rams
123,Matthew Stafford,2022,Rams
124,Matthew Stafford,2023,Rams
125,Matthew Stafford,2024,Rams
126,Mitch Trubisky,2020,Bears
127,Mitch Trubisky,2022,Steelers
128,Mitch Trubisky,2023,Steelers
129,Nick Foles,2019,Jaguars
130,Nick Foles,2020,Bears
131,Patrick Mahomes,2021,Chiefs
132,Patrick Mahomes,2022,Chiefs
133,Patrick Mahomes,2023,Chiefs
134,Patrick Mahomes,2024,Chiefs
135,Philip Rivers,2018,Chargers
136,Philip Rivers,2019,Chargers
137,Philip Rivers,2020,Colts
138,Russell Wilson,2018,Seahawks
139,Russell Wilson,2019,Seahawks
140,Russell Wilson,2020,Seahawks
141,Russell Wilson,2021,Seahawks
142,Russell Wilson,2022,Broncos
143,Russell Wilson,2023,Broncos
144,Russell Wilson,2024,Steelers
145,Ryan Fitzpatrick,2018,Buccaneers
146,Ryan Fitzpatrick,2019,Dolphins
147,Ryan Fitzpatrick,2020,Dolphins
148,Ryan Tannehill,2019,Titans
149,Ryan Tannehill,2020,Titans
150,Ryan Tannehill,2021,Titans
151,Ryan Tannehill,2022,Titans
152,Ryan Tannehill,2023,Titans
153,Sam Darnold,2021,Panthers
154,Sam Darnold,2022,Panthers
155,Sam Darnold,2024,Vikings
156,Teddy Bridgewater,2021,Broncos
157,Tom Brady,2018,Patriots
158,Tom Brady,2019,Patriots
159,Tom Brady,2020,Buccaneers
160,Tom Brady,2021,Buccaneers
161,Tom Brady,2022,Buccaneers
162,Trevor Lawrence,2024,Jaguars
163,Trevor Siemian,2023,Jets
164,Tua Tagovailoa,2023,Dolphins
165,Tua Tagovailoa,2024,Dolphins
166,Tyrod Taylor,2018,Browns
167,Tyrod Taylor,2021,Texans
168,Tyrod Taylor,2023,Giants
