No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
44,Matthew Adams,27,LB,10,3,229,Jun-00,Houston,12/12/95,4,2,Indianapolis Colts / 7th / 221st pick / 2018
47,Chase Allen,25,TE,1,0,250,,Iowa St.,7/9/97,Rook,0,
10,Michael Badgley,27,K,1,0,183,10-May,Miami (FL),7/28/95,4,1,
90,Angelo Blackson,30,DL,15,4,315,4-Jun,Auburn,11/14/92,7,2,Tennessee Titans / 4th / 100th pick / 2015
39,Josh Blackwell,23,DB,16,1,180,11-May,Duke,4/5/99,Rook,1,
35,Khari Blasingame,26,FB,16,6,233,Jun-00,Vanderbilt,7/1/96,3,0,
20,Breon Borders,27,DB,1,0,189,Jun-00,Duke,7/22/95,5,0,
75,Larry Borom,23,OL,13,9,333,5-Jun,Missouri,3/30/99,1,5,Chicago Bears / 5th / 151st pick / 2021
17,Tim Boyle,28,QB,1,0,233,4-Jun,"Connecticut,East. Kentucky",10/3/94,3,0,
9,Jaquan Brisker,23,DB,15,15,200,1-Jun,"Lackawanna,Penn St.",4/20/99,Rook,4,Chicago Bears / 2nd / 48th pick / 2022
94,Andrew Brown,27,DT,5,0,290,3-Jun,Virginia,12/30/95,3,0,Cincinnati Bengals / 5th / 158th pick / 2018
69,Ja'Tyre Carter,23,G,3,0,311,3-Jun,Southern,1/15/99,Rook,0,Chicago Bears / 7th / 226th pick / 2022
97,Taco Charlton,28,DL,5,0,270,6-Jun,Michigan,11/7/94,5,0,Dallas Cowboys / 1st / 28th pick / 2017
10,Chase Claypool,24,WR,7,3,238,4-Jun,Notre Dame,7/7/98,2,2,Pittsburgh Steelers / 2nd / 49th pick / 2020
23,Adrian Colbert,29,DB,2,0,205,2-Jun,Miami (FL),10/6/93,5,0,San Francisco 49ers / 7th / 229th pick / 2017
29,Dane Cruikshank,27,DB,8,0,209,1-Jun,Arizona,4/27/95,4,0,Tennessee Titans / 5th / 152nd pick / 2018
25,Trestan Ebner,23,RB,17,0,215,11-May,Baylor,1/2/99,Rook,0,Chicago Bears / 6th / 203rd pick / 2022
60,Dieter Eiselen,26,OL,11,0,320,4-Jun,Yale,6/10/96,2,1,
21,Darrynton Evans,24,RB,6,0,203,10-May,Appalachian St.,7/9/98,2,1,Tennessee Titans / 3rd / 93rd pick / 2020
1,Justin Fields,23,QB,15,15,228,3-Jun,"Georgia,Ohio St.",3/5/99,1,16,Chicago Bears / 1st / 11th pick / 2021
43,DeMarquis Gates,26,LB,3,0,221,2-Jun,Mississippi,3/7/96,Rook,0,
16,Trenton Gill,23,P,17,0,219,4-Jun,North Carolina St.,1/1/99,Rook,2,Chicago Bears / 7th / 255th pick / 2022
99,Trevis Gipson,25,DL,17,10,263,4-Jun,Tulsa,6/13/97,2,4,Chicago Bears / 5th / 155th pick / 2020
6,Kyler Gordon,23,DB,14,14,190,Jun-00,Washington,12/17/99,Rook,4,Chicago Bears / 2nd / 39th pick / 2022
98,Gerri Green,27,DL,1,0,252,4-Jun,Mississippi St.,9/14/95,Rook,0,Indianapolis Colts / 6th / 199th pick / 2019
84,Ryan Griffin,32,TE,15,0,255,6-Jun,Connecticut,1/11/90,9,0,Houston Texans / 6th / 201st pick / 2013
30,Harrison Hand,24,DB,4,1,185,11-May,"Baylor,Temple",11/12/98,2,0,Minnesota Vikings / 5th / 169th pick / 2020
8,N'Keal Harry,25,WR,7,0,225,4-Jun,Arizona St.,12/17/97,3,1,New England Patriots / 1st / 32nd pick / 2019
24,Khalil Herbert,24,RB,13,1,212,9-May,"Kansas,Virginia Tech",4/21/98,1,5,Chicago Bears / 6th / 217th pick / 2021
37,Elijah Hicks,23,DB,15,2,200,11-May,California,10/16/99,Rook,1,Chicago Bears / 7th / 254th pick / 2022
95,Jalyn Holmes,26,DL,1,0,283,5-Jun,Ohio St.,1/25/96,4,0,Minnesota Vikings / 4th / 102nd pick / 2018
36,DeAndre Houston-Carson,29,DB,17,6,202,Jun-00,William & Mary,4/13/93,6,2,Chicago Bears / 6th / 185th pick / 2016
4,Eddie Jackson,29,DB,12,12,206,Jun-00,Alabama,12/10/93,5,4,Chicago Bears / 4th / 112th pick / 2017
23,Lamar Jackson,24,DB,5,0,215,3-Jun,Nebraska,4/13/98,2,0,
76,Teven Jenkins,24,OL,13,11,320,6-Jun,Oklahoma St.,3/3/98,1,5,Chicago Bears / 2nd / 39th pick / 2021
33,Jaylon Johnson,23,DB,11,11,196,Jun-00,Utah,4/19/99,2,3,Chicago Bears / 2nd / 50th pick / 2020
59,Kingsley Jonathan,24,DL,5,0,260,4-Jun,Syracuse,4/28/98,Rook,0,
70,Braxton Jones,23,OL,17,17,310,5-Jun,Southern Utah,3/27/99,Rook,8,Chicago Bears / 5th / 168th pick / 2022
31,Jaylon Jones,25,DB,16,4,190,11-May,Mississippi,10/14/97,Rook,1,
93,Justin Jones,26,DL,17,17,309,3-Jun,North Carolina St.,8/28/96,4,7,Los Angeles Chargers / 3rd / 84th pick / 2018
12,Velus Jones Jr.,25,WR,12,2,200,Jun-00,"USC,Tennessee",5/11/97,Rook,2,Chicago Bears / 3rd / 71st pick / 2022
47,A.J. Klein,31,LB,2,0,240,1-Jun,Iowa St.,7/30/91,9,0,Carolina Panthers / 5th / 148th pick / 2013
85,Cole Kmet,23,TE,17,17,260,6-Jun,Notre Dame,3/10/99,2,7,Chicago Bears / 2nd / 43rd pick / 2020
26,Justin Layne,24,DB,2,0,192,2-Jun,Michigan St.,1/12/98,3,0,Pittsburgh Steelers / 3rd / 83rd pick / 2019
72,Alex Leatherwood,23,OL,4,0,312,5-Jun,Alabama,1/5/99,1,0,Las Vegas Raiders / 1st / 17th pick / 2021
47,Elijah Lee,26,LB,3,0,230,3-Jun,Kansas St.,2/8/96,5,0,Minnesota Vikings / 7th / 232nd pick / 2017
32,David Montgomery,25,RB,16,16,224,11-May,Iowa St.,6/7/97,3,8,Chicago Bears / 3rd / 73rd pick / 2019
11,Darnell Mooney,25,WR,12,12,173,11-May,Tulane,10/29/97,2,6,Chicago Bears / 5th / 173rd pick / 2020
53,Nicholas Morrow,27,LB,17,17,225,Jun-00,Greenville,7/10/95,5,6,
55,Al-Quadin Muhammad,27,DL,16,9,250,4-Jun,Miami (FL),3/28/95,5,4,New Orleans Saints / 6th / 196th pick / 2017
67,Sam Mustipher,26,OL,17,16,332,2-Jun,Notre Dame,8/13/96,2,8,
26,Michael Ojemudia,25,DB,1,0,200,1-Jun,Iowa,9/12/97,2,0,Denver Broncos / 3rd / 77th pick / 2020
62,Lucas Patrick,29,OL,7,5,313,3-Jun,Duke,7/30/93,5,3,
63,Mike Pennel,31,DL,17,2,330,4-Jun,"Arizona St.,Colorado State-Pueblo",5/9/91,8,2,
14,Nathan Peterman,28,QB,3,1,225,2-Jun,"Tennessee,Pittsburgh",5/4/94,5,1,Buffalo Bills / 5th / 171st pick / 2017
18,Dante Pettis,27,WR,17,7,195,1-Jun,Washington,10/23/95,4,3,San Francisco 49ers / 2nd / 44th pick / 2018
13,Byron Pringle,29,WR,11,4,201,1-Jun,Kansas St.,11/17/93,3,2,
94,Robert Quinn,32,DL,7,7,245,4-Jun,North Carolina,5/18/90,11,3,St. Louis Rams / 1st / 14th pick / 2011
71,Riley Reiff,34,OL,16,10,313,5-Jun,Iowa,12/1/88,10,5,Detroit Lions / 1st / 23rd pick / 2012
91,Dominique Robinson,24,DL,17,7,249,4-Jun,Miami (OH),7/2/98,Rook,3,Chicago Bears / 5th / 174th pick / 2022
57,Jack Sanborn,22,LB,14,6,236,,Wisconsin,7/29/00,Rook,3,
2,Cairo Santos,31,K,16,0,175,8-May,Tulane,11/12/91,8,3,
48,Patrick Scales,34,LS,17,0,226,3-Jun,Utah St.,2/11/88,8,1,
73,Michael Schofield,32,OL,11,5,301,6-Jun,Michigan,11/15/90,7,3,Denver Broncos / 3rd / 95th pick / 2014
15,Trevor Siemian,31,QB,2,1,220,3-Jun,Northwestern,12/26/91,7,1,Denver Broncos / 7th / 250th pick / 2015
58,Roquan Smith,25,LB,8,8,232,1-Jun,Georgia,4/8/97,4,4,Chicago Bears / 1st / 8th pick / 2018
17,Ihmir Smith-Marsette,23,WR,6,0,185,1-Jun,Iowa,8/29/99,1,0,Minnesota Vikings / 5th / 157th pick / 2021
19,Equanimeous St. Brown,26,WR,16,16,214,5-Jun,Notre Dame,9/30/96,4,4,Green Bay Packers / 6th / 207th pick / 2018
27,Greg Stroman,26,DB,2,1,182,Jun-00,Virginia Tech,3/8/96,4,0,Washington Redskins / 7th / 241st pick / 2018
38,A.J. Thomas,23,DB,5,0,214,2-Jun,Western Michigan,9/18/99,Rook,0,
45,Joe Thomas,31,LB,15,9,233,1-Jun,South Carolina St.,5/6/91,7,4,
46,Jake Tonges,23,TE,4,0,240,4-Jun,California,7/8/99,Rook,0,
22,Kindle Vildor,25,DB,11,9,189,11-May,Georgia Southern,12/11/97,2,2,Chicago Bears / 5th / 163rd pick / 2020
96,Armon Watts,26,DT,17,12,307,5-Jun,Arkansas,7/22/96,3,5,Minnesota Vikings / 6th / 190th pick / 2019
50,Sterling Weatherford,23,LB,14,0,221,,Miami (OH),1/26/99,Rook,1,
15,Nsimba Webster,26,WR,2,0,180,10-May,East. Washington,1/27/96,3,0,
88,Trevon Wesco,27,TE,14,1,267,3-Jun,West Virginia,9/12/95,3,0,New York Jets / 4th / 121st pick / 2019
65,Cody Whitehair,30,OL,12,12,316,3-Jun,Kansas St.,7/11/92,6,6,Chicago Bears / 2nd / 56th pick / 2016
,Team Total,26.2,,17,,238.4,6-2.1,,,3.1,,